tweet_id,tweet,followers_count,verified,retweet_count,verified_in_support,verified_in_deny,support,deny,neutral,category,tense
524976486902951936,Map of three #Ottawa locations where police say shots have been fired http://t.co/QrP5bauJcR http://t.co/nutT2VYvpD,19613,0,193,0,0,3,0,5,rumours,1
525067419635576834,"True patriot love ...

In Memory Of Cpl. Nathan Cirillo 
~Hamilton, Ontario

#OttawaShooting #CanadaStrong http://t.co/ibQkitoRmz",5442,0,190,0,0,0,0,5,rumours,1
524969137660231680,Chaos broke out in Ottawa after a shooting at the war memorial and reports of gunfire in Parliament http://t.co/pVOh34l2ea,3565403,1,101,0,0,0,0,4,rumours,0
524929769469538305,"OTTAWA SHOOTING:
- Soldier shot at war memorial
- Parliament Hill locked down
- PM Harper safe, 'off the hill' 
http://t.co/LmbpYiNH9A",117534,1,155,0,0,0,0,1,rumours,0
524993533212897281,"FBI assisting in the case of the Ottawa shooting, sources have confirmed to CTV News",173097,1,228,0,0,2,0,4,rumours,1
525062993898635264,"Rest In Peace Corporal Nathan Cirillo. 

#Respect 
#Ottawa 
#Canada 
#tcot http://t.co/1mIBOBohd4",23942,0,177,0,0,0,1,15,rumours,0
525035552643751936,"The City of Hamilton offers condolences to the family of Cpl. Nathan Cirillo, a #HamOnt native who bravely served with @TheArgylls. #Ottawa",12249,1,125,0,0,0,0,3,rumours,1
524974885362479104,BREAKING: CTV News reports that a solider wounded in a shooting at the National War Memorial has died.,637054,1,611,0,0,15,0,2,rumours,1
524926279309860864,"Shots are fired outside Canadian parliament in Ottawa and a soldier is wounded, local media report http://t.co/Ygpjna1CRG",11819289,1,806,0,0,3,0,20,rumours,1
524932574909857792,Parliament was stormed by at least one gunman who shot a soldier standing guard at Canada's war memorial. #cbcOTT #OTTnews,66650,0,238,0,0,3,1,5,rumours,0
524949526487265280,#BREAKING: Ottawa police confirm there were at least three separate shootings,167620,1,1040,0,0,9,1,9,rumours,1
525033625788907520,Good news is Canadian gov't successfully prevented Zehaf-Bebeau from joining #ISIS abroad. Bad news is he waged jihad in #Ottawa today.,16950,0,103,0,0,1,2,9,rumours,1
525027116287811584,Rest in peace to the soldier killed in Ottawa today http://t.co/A0KMHUeUdz,1937,0,233,0,0,0,0,1,rumours,1
525070933556350977,"And this is Cpl. Nathan Cirillo, the brave #Canadian soldier killed in the #OttawaShooting today. http://t.co/w9EOyX8MAI",8073,0,303,0,0,1,1,17,rumours,1
524948206023880704,"The latest @CBCNews on #Ottawa shootings. Gunman killed inside Parliament, soldier shot at War Memorial. http://t.co/kngapKTSCe #cdnpoli",365791,1,403,0,0,6,0,18,rumours,0
524925050739490816,BREAKING NEWS: Soldier shot at National War Memorial in Ottawa http://t.co/pp6hcfWcRw,639325,1,271,1,0,5,0,6,rumours,1
525060425184858112,"The Canadian soldier killed in today's Ottawa shooting is Cpl. Nathan Cirillo, a family source told CNN. Live blog: http://t.co/D58rrFrbwq",20038478,1,374,0,0,2,3,16,rumours,0
524940716733370374,WATCH: Shots are fired inside Ottawa's Parliament building. Canadian police say shooting suspect is still at large. https://t.co/mzxG4e8m84,1625812,1,456,0,0,2,0,17,rumours,1
524935345998422016,Snipers now on top of Ottawa's National Art Gallery after gunfire at parliament http://t.co/bEFu7HisyW (@dmatthewmillar pic),197884,0,181,0,0,3,0,8,rumours,1
