tweet_id,tweet,followers_count,verified,retweet_count,verified_in_support,verified_in_deny,support,deny,neutral,category,tense
521346721226711040,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH,7416,0,575,0,0,7,12,7,rumours,-1
521375609206083584,Good news: The rumours that Michael Essien has contracted the Ebola virus are false. http://t.co/5d7hCL46mR http://t.co/VtGuLnjWBD,73548,1,192,0,0,3,0,9,rumours,-1
521381662551474176,"I'm very fit and very healthy,No truth in the internet rumours that I have contracted Ebola.im well &amp;… http://t.co/TGidyI5JVG",488496,1,1464,1,0,7,0,12,rumours,-1
521310417696858112,"Breaking news: Ghana international and AC Milan star Michael Essien has contracted Ebola, his club has confirmed.",1456,0,859,0,0,3,20,3,rumours,-1
521359863884967936,Milan release official statement on their site saying that the reports of Michael Essien having Ebola are false. http://t.co/qYDG0RcOZh,28220,0,123,0,0,1,4,4,rumours,-1
521360486387175424,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw,115868,0,781,0,0,1,5,2,rumours,-1
521361857810939905,AC Milan have confirmed that the reports about Michael Essien having Ebola are completely false.,118697,0,268,0,0,0,8,5,rumours,-1
521359454672269313,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/swnPfExdFx,241577,0,3751,0,0,3,14,7,rumours,-1
521595221155774464,AC Milan have denied reports that midfielder Michael Essien has contracted Ebola while on national duty with Ghana #SSFootball,606359,0,143,0,0,8,5,2,rumours,-1
521358118597689344,"Milan have stated that the reports about Essien having Ebola are completely false.
http://t.co/Sb9v9ulfTX
@MichaelEssien",232347,0,196,0,0,2,0,2,rumours,-1
521367917322338304,No truth in internet rumours that I have contracted Ebola.i m very well &amp; I'm doing very gud &amp; will be training as usual tomorrow.#falsenews,488496,1,10402,0,0,7,1,10,rumours,-1
521369179392581632,Micheal Essien denying the Ebola rumours like https://t.co/H2E1TAzeha,21833,0,117,0,0,1,5,8,rumours,-1
522286703848218624,Essien and his lawyers are considering to file a lawsuit against the Nigerian media that reported the fake Ebola story.,232347,0,126,0,0,0,2,4,rumours,-1
521350916872876033,BREAKING: Unconfirmed reports claim AC Milan midfielder Michael Essien has contracted the Ebola virus. #GetWellSoon http://t.co/9h2spi4T0J,469,0,248,0,0,0,3,15,rumours,-1
